route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"0082","36","1","82 | Romillé Langan Chap. Béch. Miniac","","0","1366942","","1",""
"0244","14","10","244 | Pont-Péan Mouton Blanc","","1","1362094","","1",""
"0122","43","100","N2 | Maurepas Gayeulles","","1","1372135","","1",""
"0065","43","1000","65 | Pacé Parthenay-de-B.","","0","1371998","","1",""
"0052","39","10000","52 | Pacé Saint-Gilles","","0","1298985","","1",""
"0052","39","10001","52 | Pacé Saint-Gilles","","0","1298986","","1",""
"0052","39","10002","52 | Pacé Saint-Gilles","","0","1298988","","1",""
"0052","39","10003","52 | Pacé Saint-Gilles","","0","1298985","","1",""
"0052","39","10004","52 | Pacé Saint-Gilles","","0","1298986","","1",""
"0052","39","10005","52 | Pacé Saint-Gilles","","0","1298988","","1",""
"0052","39","10006","52 | Pacé Saint-Gilles","","0","1298985","","1",""
"0052","39","10007","52 | Pacé Saint-Gilles","","0","1298986","","1",""
"0052","39","10008","52 | Pacé Saint-Gilles","","0","1298988","","1",""
"0052","39","10009","52 | Pacé Saint-Gilles","","0","1298985","","1",""
"0065","13","1001","65 | Pacé Parthenay-de-B.","","0","1361987","","1",""
"0052","39","10010","52 | Pacé Saint-Gilles","","0","1298986","","1",""
"0052","39","10011","52 | Pacé Saint-Gilles","","0","1298988","","1",""
"0052","39","10012","52 | Pacé Saint-Gilles","","0","1298985","","1",""
"0052","39","10013","52 | Pacé Saint-Gilles","","0","1298986","","1",""
"0052","39","10014","52 | Pacé Saint-Gilles","","0","1298988","","1",""
"0052","39","10015","52 | Pacé Saint-Gilles","","0","1298985","","1",""
"0052","39","10016","52 | Pacé Saint-Gilles","","0","1298986","","1",""
"0052","39","10017","52 | Pacé Saint-Gilles","","0","1298988","","1",""
"0052","39","10018","52 | Pacé Saint-Gilles","","0","1298985","","1",""
"0052","39","10019","52 | Pacé Saint-Gilles","","0","1298986","","1",""
"0065","17","1002","65 | Pacé Parthenay-de-B.","","0","1361348","","1",""
"0052","39","10020","52 | Montgermont La Chapelle","","1","1298986","","1",""
"0052","39","10021","52 | Montgermont La Chapelle","","1","1298985","","1",""
"0052","39","10022","52 | Montgermont Chapelle Gévezé","","1","1298987","","1",""
"0052","39","10023","52 | Montgermont Chapelle Gévezé","","1","1298987","","1",""
"0064","39","10024","64 | Acigné","","1","1299009","","1",""
"0064","39","10025","64 | Acigné","","1","1299009","","1",""
"0050","39","10026","50 | Thorigné-Fouillard","","1","1299048","","1",""
"0050","39","10027","50 | Thorigné-Fouillard","","1","1299048","","1",""
"0011","39","10028","11 | ZI Ouest","","0","1299046","","1",""
"0011","39","10029","11 | ZI Ouest","","0","1299045","","1",""
"0065","21","1003","65 | Pacé Parthenay-de-B.","","0","1361508","","1",""
"0011","39","10030","11 | Saint-Saëns","","1","1299045","","1",""
"0011","39","10031","11 | Saint-Saëns","","1","1299046","","1",""
"0011","39","10032","11 | Saint-Saëns","","1","1299045","","1",""
"0011","39","10033","11 | ZI Ouest","","0","1299046","","1",""
"0011","39","10034","11 | ZI Ouest","","0","1299045","","1",""
"0011","39","10035","11 | Saint-Saëns Monniais Brécé","","1","1299047","","1",""
"0011","39","10036","11 | Saint-Saëns Monniais Brécé","","1","1299047","","1",""
"0011","39","10037","11 | République","","1","1298989","","1",""
"0057","8","10038","57 | Bruz Lavoisier","","0","1299129","","1",""
"0057","12","10039","57 | Bruz Lavoisier","","0","1301199","","1",""
"0065","35","1004","65 | Pacé Parthenay-de-B.","","0","1366811","","1",""
"0122","8","10040","N2 | La Poterie","","0","1299132","","1",""
"0122","12","10041","N2 | La Poterie","","0","1301201","","1",""
"0122","8","10042","N2 | Maurepas Gayeulles","","1","1299119","","1",""
"0122","12","10043","N2 | Maurepas Gayeulles","","1","1301189","","1",""
"0122","8","10044","N2 | Maurepas Gayeulles","","1","1299132","","1",""
"0122","12","10045","N2 | Maurepas Gayeulles","","1","1301201","","1",""
"0122","8","10046","N2 | Maurepas Gayeulles","","1","1299119","","1",""
"0122","12","10047","N2 | Maurepas Gayeulles","","1","1301189","","1",""
"0122","8","10048","N2 | Maurepas Gayeulles","","1","1299132","","1",""
"0122","12","10049","N2 | Maurepas Gayeulles","","1","1301201","","1",""
"0065","41","1005","65 | Pacé Parthenay-de-B.","","0","1372254","","1",""
"0122","8","10050","N2 | Maurepas Gayeulles","","1","1299119","","1",""
"0122","12","10051","N2 | Maurepas Gayeulles","","1","1301189","","1",""
"0122","8","10052","N2 | La Poterie","","0","1299132","","1",""
"0122","12","10053","N2 | La Poterie","","0","1301201","","1",""
"0122","8","10054","N2 | La Poterie","","0","1299119","","1",""
"0122","12","10055","N2 | La Poterie","","0","1301189","","1",""
"0122","8","10056","N2 | La Poterie","","0","1299132","","1",""
"0122","12","10057","N2 | La Poterie","","0","1301201","","1",""
"0122","8","10058","N2 | La Poterie","","0","1299119","","1",""
"0122","12","10059","N2 | La Poterie","","0","1301189","","1",""
"0065","43","1006","65 | Pacé Parthenay-de-B.","","0","1371999","","1",""
"0122","8","10060","N2 | La Poterie","","0","1299119","","1",""
"0122","12","10061","N2 | La Poterie","","0","1301189","","1",""
"0122","8","10062","N2 | Maurepas Gayeulles","","1","1299132","","1",""
"0122","12","10063","N2 | Maurepas Gayeulles","","1","1301201","","1",""
"0122","8","10064","N2 | Maurepas Gayeulles","","1","1299119","","1",""
"0122","12","10065","N2 | Maurepas Gayeulles","","1","1301189","","1",""
"0122","8","10066","N2 | La Poterie","","0","1299132","","1",""
"0122","12","10067","N2 | La Poterie","","0","1301201","","1",""
"0122","8","10068","N2 | La Poterie","","0","1299119","","1",""
"0122","12","10069","N2 | La Poterie","","0","1301189","","1",""
"0065","13","1007","65 | Rennes Villejean-Université","","1","1361996","","1",""
"0122","8","10070","N2 | Maurepas Gayeulles","","1","1299132","","1",""
"0122","12","10071","N2 | Maurepas Gayeulles","","1","1301201","","1",""
"0122","8","10072","N2 | République","","0","1299132","","1",""
"0122","12","10073","N2 | République","","0","1301201","","1",""
"0122","8","10074","N2 | République","","1","1299132","","1",""
"0122","12","10075","N2 | République","","1","1301201","","1",""
"0121","8","10076","N1 | République","","0","1299118","","1",""
"0121","12","10077","N1 | République","","0","1301188","","1",""
"0121","8","10078","N1 | Villejean","","0","1299117","","1",""
"0121","12","10079","N1 | Villejean","","0","1301187","","1",""
"0065","17","1008","65 | Rennes Villejean-Université","","1","1361355","","1",""
"0121","8","10080","N1 | République","","1","1299117","","1",""
"0121","12","10081","N1 | République","","1","1301187","","1",""
"0121","8","10082","N1 | République","","0","1299118","","1",""
"0121","12","10083","N1 | République","","0","1301188","","1",""
"0121","8","10084","N1 | Villejean","","0","1299118","","1",""
"0121","12","10085","N1 | Villejean","","0","1301188","","1",""
"0121","8","10086","N1 | Villejean","","0","1299117","","1",""
"0121","12","10087","N1 | Villejean","","0","1301187","","1",""
"0121","8","10088","N1 | République","","0","1299129","","1",""
"0121","12","10089","N1 | République","","0","1301199","","1",""
"0065","21","1009","65 | Rennes Villejean-Université","","1","1361517","","1",""
"0121","8","10090","N1 | Beaulieu","","1","1299129","","1",""
"0121","12","10091","N1 | Beaulieu","","1","1301199","","1",""
"0121","8","10092","N1 | Villejean","","0","1299129","","1",""
"0121","12","10093","N1 | Villejean","","0","1301199","","1",""
"0121","8","10094","N1 | République","","1","1299118","","1",""
"0121","12","10095","N1 | République","","1","1301188","","1",""
"0121","8","10096","N1 | République","","1","1299117","","1",""
"0121","12","10097","N1 | République","","1","1301187","","1",""
"0121","8","10098","N1 | République","","1","1299118","","1",""
"0121","12","10099","N1 | République","","1","1301188","","1",""
"0122","41","101","N2 | Maurepas Gayeulles","","1","1372384","","1",""
"0065","35","1010","65 | Rennes Villejean-Université","","1","1366819","","1",""
"0121","8","10100","N1 | République","","0","1299118","","1",""
"0121","12","10101","N1 | République","","0","1301188","","1",""
"0121","8","10102","N1 | Villejean","","0","1299117","","1",""
"0121","12","10103","N1 | Villejean","","0","1301187","","1",""
"0121","8","10104","N1 | Villejean","","0","1299129","","1",""
"0121","12","10105","N1 | Villejean","","0","1301199","","1",""
"0121","8","10106","N1 | République","","0","1299129","","1",""
"0121","12","10107","N1 | République","","0","1301199","","1",""
"0121","8","10108","N1 | République","","0","1299117","","1",""
"0121","12","10109","N1 | République","","0","1301187","","1",""
"0065","41","1011","65 | Rennes Villejean-Université","","1","1372263","","1",""
"0121","8","10110","N1 | République","","1","1299117","","1",""
"0121","12","10111","N1 | République","","1","1301187","","1",""
"0121","8","10112","N1 | Beaulieu","","1","1299129","","1",""
"0121","12","10113","N1 | Beaulieu","","1","1301199","","1",""
"0121","8","10114","N1 | République","","1","1299129","","1",""
"0121","12","10115","N1 | République","","1","1301199","","1",""
"0121","8","10116","N1 | Beaulieu","","1","1299117","","1",""
"0121","12","10117","N1 | Beaulieu","","1","1301187","","1",""
"0121","8","10118","N1 | République","","1","1299129","","1",""
"0121","12","10119","N1 | République","","1","1301199","","1",""
"0065","43","1012","65 | Rennes Villejean-Université","","1","1372008","","1",""
"0121","8","10120","N1 | Beaulieu","","1","1299118","","1",""
"0121","12","10121","N1 | Beaulieu","","1","1301188","","1",""
"0121","8","10122","N1 | République","","0","1299129","","1",""
"0121","12","10123","N1 | République","","0","1301199","","1",""
"0121","8","10124","N1 | Beaulieu","","1","1299129","","1",""
"0121","12","10125","N1 | Beaulieu","","1","1301199","","1",""
"0121","8","10126","N1 | Villejean","","0","1299118","","1",""
"0121","12","10127","N1 | Villejean","","0","1301188","","1",""
"0121","8","10128","N1 | République","","1","1299118","","1",""
"0121","12","10129","N1 | République","","1","1301188","","1",""
"0065","13","1013","65 | Rennes Villejean-Université","","1","1361986","","1",""
"0121","8","10130","N1 | République","","0","1299117","","1",""
"0121","12","10131","N1 | République","","0","1301187","","1",""
"0121","8","10132","N1 | Beaulieu","","1","1299117","","1",""
"0121","12","10133","N1 | Beaulieu","","1","1301187","","1",""
"0121","8","10134","N1 | Beaulieu","","1","1299118","","1",""
"0121","12","10135","N1 | Beaulieu","","1","1301188","","1",""
"0121","8","10136","N1 | Beaulieu","","1","1299118","","1",""
"0121","12","10137","N1 | Beaulieu","","1","1301188","","1",""
"0121","8","10138","N1 | République","","0","1299117","","1",""
"0121","12","10139","N1 | République","","0","1301187","","1",""
"0065","17","1014","65 | Rennes Villejean-Université","","1","1361343","","1",""
"0121","8","10140","N1 | République","","0","1299117","","1",""
"0121","12","10141","N1 | République","","0","1301187","","1",""
"0121","8","10142","N1 | République","","0","1299117","","1",""
"0121","12","10143","N1 | République","","0","1301187","","1",""
"0121","8","10144","N1 | République","","1","1299129","","1",""
"0121","12","10145","N1 | République","","1","1301199","","1",""
"0121","8","10146","N1 | République","","1","1299118","","1",""
"0121","12","10147","N1 | République","","1","1301188","","1",""
"0121","8","10148","N1 | République","","1","1299129","","1",""
"0121","12","10149","N1 | République","","1","1301199","","1",""
"0065","21","1015","65 | Rennes Villejean-Université","","1","1361507","","1",""
"0121","8","10150","N1 | République","","0","1299129","","1",""
"0121","12","10151","N1 | République","","0","1301199","","1",""
"0121","8","10152","N1 | République","","0","1299129","","1",""
"0121","12","10153","N1 | République","","0","1301199","","1",""
